class	pattern	X_found	Y_found	pair	query	context_pre	costr	context_post
no	X and Y	long	typewritten	long - short	(\blong) and (?!short)(\b\w+)	 It was seven pages 	long and typewritten	, though the typeface did n't match that of the first letter.
no	X or Y	true	proper	false - true	(\btrue) or (?!false)(\b\w+)	 These are the divisions of the 	true or proper	 art of wealth-getting and come first.
yes	X and Y	new	old	new - old	(new) and (old)	 It was magnificent, with hundreds of 	new and old	 books.
yes	X or Y	long	short	long - short	(long) or (short)	 Nothing else will work 	long or short	 term.
no	X or Y	wrong	deficient	right - wrong	(\bwrong) or (?!right)(\b\w+)	 My policy and life practice, is to build on what I/we have, rather than judge myself and others to be 	wrong or deficient	.
no	X and Y	large	inquisitive	large - small	(\blarge) and (?!small)(\b\w+)	 He has a starving child inside him, one that seizes everything with a 	large and inquisitive	 hand.
no	X and Y	low	scrubby	high - low	(\blow) and (?!high)(\b\w+)	 White-potato foliage is technically a vine, but it is too 	low and scrubby	 to attempt to grow up.
no	X and Y	gray	old	new - old	(?!new)(\b\w+) and (\bold)	 The audience of newspapers is 	gray and old	, and is not getting any younger.
no	X and Y	dry	explosive	dry - wet	(\bdry) and (?!wet)(\b\w+)	 I have turned all the 	dry and explosive	 matter of her female soul on fire.
no	X and Y	high	aggravated	high - low	(\bhigh) and (?!low)(\b\w+)	 David Scott (D-Atlanta) would have made it a misdemeanor of a 	high and aggravated	 nature to leave a handgun where a child could easily reach it.
yes	X and Y	old	new	new - old	(old) and (new)	 Comparative genetic methods suggest these proviruses entered our primate lineage during a burst of retroviral infections about 30 million years ago, about the time the 	old and new	 world monkeys were diverging.
yes	neither X nor Y	right	wrong	right - wrong	neither (right) nor (wrong)	 It is 	neither right nor wrong	.
no	X and Y	new	necessary	new - old	(\bnew) and (?!old)(\b\w+)	 Three new social-overview books, each very different from the other, reflect this 	new and necessary	 sobriety.
no	X and Y	Subtle	true	false - true	(?!false)(\b\w+) and (\btrue)	 	Subtle and true	.
no	X or Y	dangerous	difficult	difficult - easy	(?!easy)(\b\w+) or (\bdifficult)	 People who had sworn off skiing because it was too fast, 	dangerous or difficult	 (@ @ @ @ @ @ @ @ @ @ above) have come back to the slopes for a second look.
yes	X and Y	large	small	large - small	(large) and (small)	com lists 44 computer system brands, 	large and small	, from Acer America and Apple to Tandy/Radio Shack and Zeos.
no	X and Y	urban	suburban	rural - urban	(\burban) and (?!rural)(\b\w+)	 The unique patterns of American 	urban and suburban	 development and particular social problems do not lend themselves to European solutions, which are being abandoned even in Europe.
no	X and Y	Smooth	fast	fast - slow	(?!slow)(\b\w+) and (\bfast)	 	Smooth and fast	 frame rates and eye-popping visuals are what I look for.
yes	X or Y	hot	cold	cold - hot	(hot) or (cold)	 The bitterness of the kale and lemon juice mellows after a chill in @ @ @ @ @ @ @ @ @ @ It also can be spooned over cooked potatoes, 	hot or cold	.
yes	X and Y	good	bad	bad - good	(good) and (bad)	" In a reference to the 1998 debacle, Wilson said, "" You take the attention, "	good and bad	, and learn from it and make sure those kinds of things do n't happen again.
yes	both X and Y	private	public	private - public	both (private) and (public)	 These growing concerns threatened to challenge higher harvest levels, which provided revenue for 	both private and public	 agencies.
no	X and Y	low	superior	high - low	(\blow) and (?!high)(\b\w+)	 If you overlook the close proximity of the stereo speakers the sound is quite realistic concerning 	low and superior	 frequencies with round about low.
no	X and Y	square	old	new - old	(?!new)(\b\w+) and (\bold)	 Short and 	square and old	 as the century, she was the one your eye flicked over on the street.
no	X and Y	alive	electronic	alive - dead	(\balive) and (?!dead)(\b\w+)	 We're 	alive and electronic	 systems are n't.
no	both X and Y	young	old	new - old	both (?!new)(\b\w+) and (\bold)	 Citizens of the world, 	both young and old	, continue to support this eclectic personality as he attempts to bridge the gap between man and crowd.
no	from X to Y	creepy	sad	happy - sad	from (?!happy)(\b\w+) to (\bsad)	 But it goes 	from creepy to sad	 @ @ @ @ @ @ @ @ @ @'s smitten with you, and more like a guy who cares about you at all.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 Whether this is 	good or bad	 we leave to the judgement of moralists.
no	X or Y	big	permanent	permanent - temporary	(?!temporary)(\b\w+) or (\bpermanent)	 That middle ground does n't have to be very 	big or permanent	 but it seems to be the only place where discussion, discovery and mind-changing can occur.
no	X and Y	urban	prepared	rural - urban	(\burban) and (?!rural)(\b\w+)	 If you are 	urban and prepared	, you wo n't see this, because you will be gone.
no	X and Y	small	endless	large - small	(\bsmall) and (?!large)(\b\w+)	 big, 	small and endless	 lies.
yes	X or Y	right	wrong	right - wrong	(right) or (wrong)	 said was right or wrong, but because the advertisers are bowing to the public pressure of what the public thinks is 	right or wrong	.
yes	X and Y	right	wrong	right - wrong	(right) and (wrong)	 Conscience relates to one's ability to sense 	right and wrong	.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 Whether the provision is 	good or bad	 policy is irrelevant to the procedural test.
yes	X or Y	right	wrong	right - wrong	(right) or (wrong)	 There are as many ways of handling color and light as there are artists holding brushes; no one way is 	right or wrong	.
yes	X and Y	good	bad	bad - good	(good) and (bad)	 But there are 	good and bad	 of all genre.
no	X and Y	good	safe	bad - good	(\bgood) and (?!bad)(\b\w+)	" "" Until Navajos can grow up in "	good and safe	 communities, and have a strong economic base on the reservation, we'll have all these problems.
yes	neither X nor Y	cold	hot	cold - hot	neither (cold) nor (hot)	" But Bush should heed the warning of Revelation 3:16: "" So then because thou art lukewarm, and "	neither cold nor hot	, I will spit thee out of my mouth.
