class	pattern	X_found	Y_found	pair	query	context_pre	costr	context_post
yes	X and Y	major	minor	major - minor	(major) and (minor)	 Most thrived, as they generally do in 	major and minor	 floods.
no	X or Y	cool	cold	cold - hot	(?!hot)(\b\w+) or (\bcold)	 1977) suggest that the evolution of viviparity is associated with 	cool or cold	 environments.
no	X and Y	academic	public	private - public	(?!private)(\b\w+) and (\bpublic)	 Because more than 60% of the respondents have 	academic and public	 education positions, a multiplier effect of the training seems assured.
no	X and Y	small	young	large - small	(\bsmall) and (?!large)(\b\w+)	 Although these controls can eliminate 	small and young	 stands, they are costly, require continued long-term maintenance, and, in the case of herbicides, are nonselective and environmentally degrading.
no	X and Y	lasting	permanent	permanent - temporary	(?!temporary)(\b\w+) and (\bpermanent)	 The 	lasting and permanent	 damage was done by us, by the scientific community to which we belong, not by Senator McCarthy and his bully-boy legal counsel.
no	X and Y	long	friendly	long - short	(\blong) and (?!short)(\b\w+)	 However, we learned in 	long and friendly	 discussions that our minority of three, Wallace Alston the Presbyterian minister, Susanna Waterman the writer, and Emma Epps the retired housekeeper, saw our task differently.
no	X and Y	well	good	bad - good	(?!bad)(\b\w+) and (\bgood)	 Mill can not mean to suggest that individuality is 	well and good	 @ @ @ @ @ @ @ @ @ @ and morality.
yes	X and Y	private	public	private - public	(private) and (public)	 They can also appreciate the dangers of an absolute principle @ @ @ @ @ @ @ @ @ @ support for those 	private and public	 virtues required of a liberal democracy.
no	X and Y	harsh	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 " He projected not so much a mild as " a 	harsh and difficult	 acceptance.
no	X and Y	healthy	happy	happy - sad	(?!sad)(\b\w+) and (\bhappy)	 Unlike humans and even dogs, they need meat to live 	healthy and happy	 lives.
no	X and Y	cold	unfeeling	cold - hot	(\bcold) and (?!hot)(\b\w+)	 Scientists are 	cold and unfeeling	, so blinded by years of socialization in laboratories and classrooms that they can not see the suffering before their eyes or hear the cries of their innocent victims.
no	X and Y	large	comfortable	large - small	(\blarge) and (?!small)(\b\w+)	 The house was 	large and comfortable	, but it was modern, unpretentious -- tastefully austere.
no	X or Y	rich	powerful	poor - rich	(\brich) or (?!poor)(\b\w+)	 Not all of Smiles's examples were 	rich or powerful	 men.
no	X and Y	difficult	important	difficult - easy	(\bdifficult) and (?!easy)(\b\w+)	 There is work to be done, work every bit as 	difficult and important	 as the work of men, and no less deserving of the highest respect.
yes	X or Y	short	long	long - short	(short) or (long)	 I went onto the bench seventeen years after graduating from law school, not an unusually 	short or long	 time.
no	X or Y	boring	easy	difficult - easy	(?!difficult)(\b\w+) or (\beasy)	 They are sometimes @ @ @ @ @ @ @ @ @ @ look 	boring or easy	 only to people who have insufficient knowledge and experience to which to relate the abstractions of doctrine.
yes	X or Y	true	false	false - true	(true) or (false)	, are used to represent an independently existing reality, and to the extent that we succeed or fail in doing that, what we believe, state, or judge is 	true or false	, respectively.
no	X and Y	perverted	old	new - old	(?!new)(\b\w+) and (\bold)	 But in some fields much of the time and in many fields some of the time, laudable goals are 	perverted and old	 principles jettisoned, all in the name of-what?
no	X and Y	peaceful	happy	happy - sad	(?!sad)(\b\w+) and (\bhappy)	 This practice reveals to him what a 	peaceful and happy	 civilization the preliterate Maltese enjoyed.
no	X and Y	great	good	bad - good	(?!bad)(\b\w+) and (\bgood)	 The Neopagan Paradigm amounts to this: Ancient and/or non-Western paganism was 	great and good	; indeed, it has the potential to solve our own greatest problems, whether personal, social, or ecological.
no	X and Y	large	powerful	large - small	(\blarge) and (?!small)(\b\w+)	 My father, having married into a 	large and powerful	 family, a family almost obsessively preoccupied with itself, had a respectable but fairly modest job in the trust department of a downtown bank.
no	X and Y	small	inadequate	large - small	(\bsmall) and (?!large)(\b\w+)	 My wife's voice sounded 	small and inadequate	, and mine was croaky from an evening's disuse.
no	X and Y	rich	unified	poor - rich	(\brich) and (?!poor)(\b\w+)	 The familiar distinctions of the natural and the artificial, of nature and culture, of ecology and economy, are not oppositions but a series of diverse and interrelated elements within a 	rich and unified	 whole.
no	X and Y	passive	inert	active - passive	(\bpassive) and (?!active)(\b\w+)	 For example, @ @ @ @ @ @ @ @ @ @ way as a 	passive and inert	 object; instead, it is a system that is alive, dynamic, creative, and one that has a history.
no	X and Y	alive	well	alive - dead	(\balive) and (?!dead)(\b\w+)	 Robert Gallo, a leading researcher who is 	alive and well	.
no	X and Y	cold	starving	cold - hot	(\bcold) and (?!hot)(\b\w+)	 Right outside the gate to the city, Saint Martin of Tours met a 	cold and starving	 beggar.
no	X and Y	alone	cold	cold - hot	(?!hot)(\b\w+) and (\bcold)	 In the Christian tradition, there is the story about Saint Martin of Tours, who in medieval times was riding his horse, 	alone and cold	, through the deepening night toward the walled city which was his destination.
no	X and Y	cold	starving	cold - hot	(\bcold) and (?!hot)(\b\w+)	 There is no reason to choose one among the many 	cold and starving	 beggars.
yes	from X to Y	high	low	high - low	from (high) to (low)	 This model, rather than assuming individuals are either rule-oriented or consequence oriented, argues individuals can range 	from high to low	 in their emphasis on principles and in their emphasis on consequences.
no	X and Y	single	permanent	permanent - temporary	(?!temporary)(\b\w+) and (\bpermanent)	 Buffers lessen shocks, but buffers prevent us from waking up to the path to higher levels of consciousness where there is but a 	single and permanent	 " I ".
yes	X and Y	good	bad	bad - good	(good) and (bad)	 In his mind, the infant splits the object into its 	good and bad	 aspects and introjects or internalizes the bad aspect.
