class	pattern	X_found	Y_found	pair	query	context_pre	costr	context_post
no	X and Y	long	narrow	long - short	(\blong) and (?!short)(\b\w+)	 And so the peculiar Manhattan block, with its 	long and narrow	 street side, its short side on a wide avenue, broken into **26;54;TOOLONG building lots.
yes	X or Y	good	bad	bad - good	(good) or (bad)	 This corresponds to a principle enunciated in " Les Nourritures terrestres ": act before considering whether your action is 	good or bad	.
no	X and Y	dry	dusty	dry - wet	(\bdry) and (?!wet)(\b\w+)	 The landscape is 	dry and dusty	, and the one beach in town is avoided because crime is endemic.
no	X and Y	good	evil	bad - good	(\bgood) and (?!bad)(\b\w+)	 " " Paradise Lost " is not a more real struggle between the spirits of 	good and evil	 than " The Turn of the Screw, " he declared.
no	X and Y	good	distinctive	bad - good	(\bgood) and (?!bad)(\b\w+)	 Discussion about reforms of the degree should take care not to discard what is 	good and distinctive	 about the Ph.
yes	X and Y	good	bad	bad - good	(good) and (bad)	 After all, people in the humanities do n't experiment, do n't have controls, disagree about what's 	good and bad	, and overall seem a very funny bunch of guys.
no	X and Y	dry	logical	dry - wet	(\bdry) and (?!wet)(\b\w+)	 Where medieval theology had been 	dry and logical	, the classics were elegant and charming.
no	X and Y	obvious	large	large - small	(?!small)(\b\w+) and (\blarge)	 The costs are 	obvious and large	; the benefits, if any, difficult to perceive, and certainly undocumented.
no	X and Y	good	desirable	bad - good	(\bgood) and (?!bad)(\b\w+)	 And it was clear to Mill as it should be to us that truth is a 	good and desirable	 thing, especially in the university.
no	X and Y	hard	fast	hard - soft	(\bhard) and (?!soft)(\b\w+)	 He denied that Middle States has any " 	hard and fast	 rules " regarding minority retention rates, indicating there is " never a single standard " in assessing a school's performance in this regard.
no	X and Y	temporary	inadequate	permanent - temporary	(\btemporary) and (?!permanent)(\b\w+)	 On the contrary, their irony will be far deeper because it will not have the phony salvation of progressive self-righteousness to offer it 	temporary and inadequate	 relief.
yes	X and Y	male	female	female - male	(male) and (female)	 In Odessa, @ @ @ @ @ @ @ @ @ @ play local teams, one young woman embarrassed our hosts by calling them sexist for having 	male and female	 teams.
yes	X and Y	male	female	female - male	(male) and (female)	 In the first place, there are no such things as identifiably 	male and female	 modes of thought.
no	X and Y	thin	easy	difficult - easy	(?!difficult)(\b\w+) and (\beasy)	 By the time the latest ideas reach Chicago, they're worn 	thin and easy	 to see through.
no	not X, but Y	sad	depressed	happy - sad	not (\bsad), but (?!happy)(\b\w+)	 Leonard Linsky has a poignant, penetrating explanation when he says that Wittgenstein conceives the unhappy man as being 	not sad, but depressed	.
no	X or Y	private	asocial	private - public	(\bprivate) or (?!public)(\b\w+)	 As I turn it, at least, there is nothing epistemologically 	private or asocial	 about imaginative life; nothing metaphysical about it.
