sent_id	class	pattern	X_found	Y_found	pair	query	context_pre	costr	context_post	text
48449	yes	X and Y	active	passive	active - passive	(active) and (passive)	 We have investigated a number of 	active and passive	 @ @ @ @ @ @ @ @ @ @ paper.	 We have investigated a number of  active and passive  @ @ @ @ @ @ @ @ @ @ paper.
35598	yes	X and Y	active	passive	active - passive	(active) and (passive)	 So are the relative merits of the first, second, third persons, 	active and passive	 voice.	 So are the relative merits of the first, second, third persons,  active and passive  voice.
36279	yes	X and Y	active	passive	active - passive	(active) and (passive)	 Sometimes, participants exchange 	active and passive	 roles during a single greeting.	 Sometimes, participants exchange  active and passive  roles during a single greeting.
52855	yes	X and Y	active	passive	active - passive	(active) and (passive)	 two separate businesses I intend to blend together in this beautiful mixture of 	active and passive	 income streams.	 two separate businesses I intend to blend together in this beautiful mixture of  active and passive  income streams.
43952	yes	X and Y	active	passive	active - passive	(active) and (passive)	 These apparatus include 	active and passive	 solar energies, photovoltaics, wind turbine, and alternative fuels.	 These apparatus include  active and passive  solar energies, photovoltaics, wind turbine, and alternative fuels.
49617	yes	X and Y	active	passive	active - passive	(active) and (passive)	 When the two triangles are interlaced, it represents the union of the 	active and passive	 forces in nature; it represents the male and female elements.	 When the two triangles are interlaced, it represents the union of the  active and passive  forces in nature; it represents the male and female elements.
7224	yes	X and Y	active	passive	active - passive	(active) and (passive)	 Although experience is sometimes used in a narrower sense, it can be a relational term, an 	active and passive	 term, a term that connotes knowing and other than knowing.	 Although experience is sometimes used in a narrower sense, it can be a relational term, an  active and passive  term, a term that connotes knowing and other than knowing.
15046	yes	X and Y	passive	active	active - passive	(passive) and (active)	 Five participants each were recruited through 	passive and active	 recruitment strategies, and six were recruited through snowball sampling.	 Five participants each were recruited through  passive and active  recruitment strategies, and six were recruited through snowball sampling.
9883	yes	X and Y	passive	active	active - passive	(passive) and (active)	 Because action potential conduction requires 	passive and active	 flow of current (see Figure 3.	 Because action potential conduction requires  passive and active  flow of current (see Figure 3.
5365	yes	X and Y	passive	active	active - passive	(passive) and (active)	 @ @ @ @ @ @ @ @ @ @ is space enough to blend the 	passive and active	; to create spaces where people can walk, run, congregate, play, catch and think.	 @ @ @ @ @ @ @ @ @ @ is space enough to blend the  passive and active ; to create spaces where people can walk, run, congregate, play, catch and think.
