class	pattern	X_found	Y_found	pair	query	context_pre	costr	context_post
no	X and Y	small	wizened	large - small	(\bsmall) and (?!large)(\b\w+)	 His name was Loring Merguire, and at the time I knew him he was a 	small and wizened	 creature, probably in his late sixties.
yes	X and Y	soft	hard	hard - soft	(soft) and (hard)	 There was a little bar that served sandwiches and 	soft and hard	 drinks; there also were adequate locker and shower facilities and a card room.
no	whether X or Y	great	small	large - small	whether (?!large)(\b\w+) or (\bsmall)	 Individuals may have, and doubtless will have, private reservations, quirks of conscience; but in matters of external behavior, 	whether great or small	, conformity is the indicated rule.
no	X and Y	soft	useless	hard - soft	(\bsoft) and (?!hard)(\b\w+)	 That has made me 	soft and useless	 for the service of others, good only to myself''(p.
yes	X and Y	high	low	high - low	(high) and (low)	 It is also a matter of 	high and low	.
yes	whether X or Y	good	bad	bad - good	whether (good) or (bad)	 And like most narratives, 	whether good or bad	, it arranges Montaigne's life in a simple, sequential, temporal pattern.
no	X and Y	light	enormous	heavy - light	(\blight) and (?!heavy)(\b\w+)	 Nothing there but trapped 	light and enormous	 whirring blades of the attic fan exhaling like a hot beast.
no	X and Y	wrong	beautiful	right - wrong	(\bwrong) and (?!right)(\b\w+)	 Trees rising on their own reflections, 	wrong and beautiful	 at once.
yes	X and Y	hot	cold	cold - hot	(hot) and (cold)	 I ran 	hot and cold	 on his sickness.
no	X and Y	alive	renewed	alive - dead	(\balive) and (?!dead)(\b\w+)	 Although unnoticed by the great public and disdained by the intellectual and political establishment of the postwar world, they kept 	alive and renewed	 liberal doctrine.
no	X and Y	cold	tired	cold - hot	(\bcold) and (?!hot)(\b\w+)	 " Although she is 	cold and tired	, she refuses to rest.
no	X and Y	latent	difficult	difficult - easy	(?!easy)(\b\w+) and (\bdifficult)	 But surely I knew, Sociologist objected, that most racist attitudes are 	latent and difficult	 to detect or that their problem may not be racism per se, but a lack of " openness to cultural diversity "?
no	X and Y	permanent	unalterable	permanent - temporary	(\bpermanent) and (?!temporary)(\b\w+)	 Is the present division between " professional " and " amateur " historians, between " true scholars " and " mere popularizers " to be accepted as 	permanent and unalterable	?
yes	X or Y	good	bad	bad - good	(good) or (bad)	 At its best, it is good literature, but not, even at its worst, fiction -- 	good or bad	.
no	X and Y	long	arduous	long - short	(\blong) and (?!short)(\b\w+)	 To ensure the benefits and obviate this danger, Stanford requires each course proposal to undergo a 	long and arduous	 application process.
yes	X and Y	small	large	large - small	(small) and (large)	 Through our discussions I also discovered that the literature is incomplete or unreliable in ways, 	small and large	, that she could correct.
no	X and Y	happy	prosperous	happy - sad	(\bhappy) and (?!sad)(\b\w+)	 Academic success is connected with success in American society, which means finding a 	happy and prosperous	 life.
