class	pattern	X_found	Y_found	pair	query	sent_id	context_pre	costr	context_post	text
yes	X and Y alike	good	bad	bad - good	(good) and (bad) alike	14220	 For teams, 	good and bad alike	, having players included on the ballot makes for good fodder for the in-game experience at arenas.	 For teams,  good and bad alike , having players included on the ballot makes for good fodder for the in-game experience at arenas.
yes	X and Y	true	false	false - true	(true) and (false)	21935	 In the actual world, true paradoxes -- events requiring decidable propositions to be simultaneously 	true and false	 -- do not occur.	 In the actual world, true paradoxes -- events requiring decidable propositions to be simultaneously  true and false  -- do not occur.
yes	separating X and Y	male	female	female - male	separating (male) and (female)	21840	 In some respects the school will be no different from schools built here for decades, conforming to rigid Islamic precepts 	separating male and female	 students.	 In some respects the school will be no different from schools built here for decades, conforming to rigid Islamic precepts  separating male and female  students.
yes	neither X nor Y	true	false	false - true	neither (true) nor (false)	47477	 like what Aristotle says so profoundly of prayer: it is 	neither true nor false	.	 like what Aristotle says so profoundly of prayer: it is  neither true nor false .
yes	whether X or Y	permanent	temporary	permanent - temporary	whether (permanent) or (temporary)	12296	 Direct sterilization of either men or women, 	whether permanent or temporary	, is not permitted in a Catholic health care institution.	 Direct sterilization of either men or women,  whether permanent or temporary , is not permitted in a Catholic health care institution.
yes	from X to Y	long	short	long - short	from (long) to (short)	47070	 blockflte, trumpet, piccolo) -there was a separate row of pipes, arranged in a line 	from long to short	.	 blockflte, trumpet, piccolo) -there was a separate row of pipes, arranged in a line  from long to short .
yes	more X than Y	high	low	high - low	more (high) than (low)	44901	" When asked whether "" conscientious objection to military @ @ @ @ @ @ @ @ @ @ citizenship, "" significantly "	more high than low	 scorers on patriotism (66 percent vs.	" When asked whether "" conscientious objection to military @ @ @ @ @ @ @ @ @ @ citizenship, "" significantly  more high than low  scorers on patriotism (66 percent vs."
yes	neither X nor Y	right	wrong	right - wrong	neither (right) nor (wrong)	46040	" Without reference to a certain language and context any "" sentence "" is "	neither right nor wrong	 but just meaningless.	" Without reference to a certain language and context any "" sentence "" is  neither right nor wrong  but just meaningless."
yes	X and Y	masculine	feminine	feminine - masculine	(masculine) and (feminine)	38258	 The songs show both the 	masculine and feminine	 points of view (although the woman's perspective is shown through the male imagination, since men comprise the absolute majority of the composers).	 The songs show both the  masculine and feminine  points of view (although the woman's perspective is shown through the male imagination, since men comprise the absolute majority of the composers).
yes	both X and Y	hot	cold	cold - hot	both (hot) and (cold)	1748	" "" Indeed, @ @ @ @ @ @ @ @ @ @ his hotel in the finest European style, with imported walnut floors, porcelain lavatories, and "	both hot and cold	 water in every room.	" "" Indeed, @ @ @ @ @ @ @ @ @ @ his hotel in the finest European style, with imported walnut floors, porcelain lavatories, and  both hot and cold  water in every room."
yes	X or Y	drunk	sober	drunk - sober	(drunk) or (sober)	10696	 But they are off-limits for motorists, 	drunk or sober	, and that's nirvana enough.	 But they are off-limits for motorists,  drunk or sober , and that's nirvana enough.
yes	neither X nor Y	cold	hot	cold - hot	neither (cold) nor (hot)	1509	" "" I know thy works, that thou art "	neither cold nor hot	: I would thou wert cold or hot.	" "" I know thy works, that thou art  neither cold nor hot : I would thou wert cold or hot."
yes	whether X or Y	active	passive	active - passive	whether (active) or (passive)	34923	 The aggressor, 	whether active or passive	 @ @ @ @ @ @ @ @ @ @ have to be physical.	 The aggressor,  whether active or passive  @ @ @ @ @ @ @ @ @ @ have to be physical.
yes	neither X nor Y	male	female	female - male	neither (male) nor (female)	36856	 The male nudes function to tempt 	neither male nor female	 viewers but to indicate how the witch perceived the devil as attractive.	 The male nudes function to tempt  neither male nor female  viewers but to indicate how the witch perceived the devil as attractive.
yes	X, not Y	happy	sad	happy - sad	(happy), not (sad)	44287	 We were some place doing something, nothing special, not 	happy, not sad	, just together like we used to be.	 We were some place doing something, nothing special, not  happy, not sad , just together like we used to be.
yes	either X or Y	high	low	high - low	either (high) or (low)	22807	 It can be configured to detect 	either high or low	 liquid levels and power failures.	 It can be configured to detect  either high or low  liquid levels and power failures.
yes	how X or Y	new	old	new - old	how (new) or (old)	40209	 These tips will help you get more use out of your laptop, no matter 	how new or old	.	 These tips will help you get more use out of your laptop, no matter  how new or old .
yes	X and Y	short	long	long - short	(short) and (long)	30239	 Pretty clearly in the USA monetary policy has been aimed to reduce 	short and long	 term interest rates and has been very successful at that.	 Pretty clearly in the USA monetary policy has been aimed to reduce  short and long  term interest rates and has been very successful at that.
yes	X rather than Y	dead	alive	alive - dead	(dead) rather than (alive)	32368	 So for people like me who have drunkard fathers who just wishes that we were 	dead rather than alive	 cause it will be less expensive.	 So for people like me who have drunkard fathers who just wishes that we were  dead rather than alive  cause it will be less expensive.
yes	both X and Y	optimistic	pessimistic	optimistic - pessimistic	both (optimistic) and (pessimistic)	3765	 (n4) What 	both optimistic and pessimistic	 views share, however, is a conventional notion of self-portraiture as a mere reflection of the artist's inner self.	 (n4) What  both optimistic and pessimistic  views share, however, is a conventional notion of self-portraiture as a mere reflection of the artist's inner self.
