sent_id;class;pattern;X_found;Y_found;pair;context_pre;costr;context_post;antonymous_value
40309;yes;X as well as Y;good;bad;bad - good;" The issue involved is usually stated in terms of blame or punishment, though it could also be stated in terms of praise and reward; luck can be ";good as well as bad;.;
40821;yes;X and Y;dry;wet;dry - wet; The most dependable weather and water conditions occur during January and February, when a good combination of ;dry and wet; fly fishing is possible.;
25572;yes;how X or Y;good;bad;bad - good; It is much easier to say ;how good or bad; Tony Romo is or babble incessantly about Tim Tebow.;
11682;yes;X, not Y;old;new;new - old; But they are actually ;old, not new; at all.;
24271;yes;either X or Y;public;private;private - public; Incentives are important, but well run systems in ;either public or private; channels are critical to deliver the correct medicine to the patient that needs it.;
28973;yes;from X to Y;temporary;permanent;permanent - temporary; Make the right impression on them, and you can go ;from temporary to permanent;.;
21590;yes;more X than Y;dead;alive;alive - dead; I was washed ashore, who knows where, ;more dead than alive;.;
14916;yes;between X and Y;long;short;long - short; Finally, they were committed to education, and especially capable of distinguishing ;between long and short; term educational goals (pp.;
24204;yes;X and Y;male;female;female - male; In this painting, tall stalks of white asparagus grow out of a sea of luscious, robust cherries, taking on ;male and female; characteristics.;
40747;yes;whether X or Y;hot;cold;cold - hot; The military/security complex makes billions of dollars in profits from wars, ;whether hot or cold;.;
38471;yes;whether X or Y;active;passive;active - passive; The aggressor, ;whether active or passive; @ @ @ @ @ @ @ @ @ @ have to be physical.;
4752;yes;neither X nor Y;true;false;false - true; 1287 -- 1347), took Aristotle to hold that propositions about the contingent future are ;neither true nor false;.;
7243;yes;whether X or Y;true;false;false - true; Although it may be good cautionary advice ;whether true or false;, reasoning alone can not confirm the premise.;
16410;yes;from X to Y;soft;hard;hard - soft; Hands that can go ;from soft to hard;.;
53406;yes;X or Y;rural;urban;rural - urban;, ;rural or urban;, amicable or hostile, economically upbeat or in recession or depression.;
21690;yes;neither X nor Y;optimistic;pessimistic;optimistic - pessimistic; I would be ;neither optimistic nor pessimistic;.;
42334;yes;neither X nor Y;large;small;large - small; The swell of her breasts was ;neither large nor small;.;
16285;yes;X and Y;large;small;large - small; Gray Davis wants to rush 5,000 megawatts of capacity into service by July through construction of ;large and small; power plants.;
11574;yes;how X or Y;cold;hot;cold - hot; But the payoff was that everything in the body would work faster, and body temperature could be independent of ;how cold or hot; the environment was.;
22338;yes;X and Y;rural;urban;rural - urban; If my grass plots, each placed in fairly evenly distributed ;rural and urban; areas, were to then suddenly be reduced by the same urban-biased percentage, I would not be able to continue the study.;
768;yes;both X and Y;masculine;feminine;feminine - masculine;" "" (n36) This would have to be nuanced to be in harmony with Johnson's earlier call for ";both masculine and feminine; images of God.;
16977;yes;X and Y;optimistic;pessimistic;optimistic - pessimistic; He is both troubled and enlightened, dramatic and comedic, and ;optimistic and pessimistic;.;
23810;yes;both X and Y;active;passive;active - passive; In simple terms, this means that each space has to have the vital presence of ;both active and passive; energies in order to sustain good feng shui energy.;
18390;yes;X rather than Y;passive;active;active - passive; Hers was the kind of consciousness that is not consciousness as intellectuals define it, but is ;passive rather than active;.;
42409;yes;neither X nor Y;old;new;new - old; The term annoys me, for to us who lived then't was ;neither old nor new;, but simply the world-our world.;
14092;yes;either X or Y;right;wrong;right - wrong; Ethical absolutists view the world in black and white terms: They regard every action as being ;either right or wrong; and do n't allow for cases that are simply outside the realm of ethics.;
33759;yes;more X than Y;feminine;masculine;feminine - masculine; Remember, taking away the top hair is going to create definition and begin to look ;more feminine than masculine;.;
44327;yes;X and Y;masculine;feminine;feminine - masculine; They all counteract the overemphasis on yang attitudes and values, and try to reestablish a balance between the ;masculine and feminine; sides of human nature.;
23972;yes;X and Y alike;rich;poor;poor - rich;" In the early 1940s, such "" germs "" as streptococci, staphylococci and pneumococci laid low ";rich and poor alike;.;
4721;yes;between X and Y;true;false;false - true; 108, we have a contrast between Heraclitus himself who can distinguish ;between true and false; logoi and the stupid person who enthusiastically accepts them all without discrimination.;
40616;yes;neither X nor Y;male;female;female - male; The male nudes function to tempt ;neither male nor female; viewers but to indicate how the witch perceived the devil as attractive.;
13424;yes;whether X or Y;permanent;temporary;permanent - temporary; Direct sterilization of either men or women, ;whether permanent or temporary;, is not permitted in a Catholic health care institution.;
15896;yes;both X and Y;true;false;false - true; Furthermore, he sees ;both true and false; dignitaries all around him, and he becomes @ @ @ @ @ @ @ @ @ @ him carry.;
46786;yes;X and Y alike;good;bad;bad - good; Throughout its history it has been used and manipulated, ;good and bad alike; selecting passages for their different ends.;
7864;yes;whether X or Y;public;private;private - public; And in whatever way opened, ;whether public or private;, he gave testimony for his faith and the lordship of his Master.;
29592;yes;X and Y;old;new;new - old; Mix ;old and new; -- even some reproductions -- for a more interesting decor.;
39509;yes;both X and Y;public;private;private - public; The dramatic growth of cellular telephone, paging, and other mobile services over the last decade offers customers ;both public and private; options for radio services.;
4854;yes;more X than Y;male;female;female - male; 22 Therefore, even if ;more male than female; members of the dual careerist couples were selected for downsizing, the female soldier would leave with the male member.;
28809;yes;X or Y;heavy;light;heavy - light; Louis favorite - and plenty more ;heavy or light; options keeps them planted.;
33087;yes;X or Y;cold;hot;cold - hot; Planners should make sure that all food is kept ;cold or hot; to prevent the possibility of food poisoning.;
36208;yes;neither X nor Y;happy;sad;happy - sad; Something that is ;neither happy nor sad;.;
12921;yes;between X and Y;rich;poor;poor - rich; Could it be because the gap ;between rich and poor; is widening by the foot every minute?;
536;yes;X or Y;new;old;new - old; ;new or old;.;
13538;yes;how X or Y;easy;difficult;difficult - easy; Do you have experience with ;how easy or difficult; that is and what it takes for them to do it without major hassle?;
37722;yes;X and Y;long;short;long - short; The ;long and short; of it?;
13757;yes;both X and Y;male;female;female - male; During this phase, the behaviors used the most by ;both male and female; coaches, respectively, were the same as the preseason Male coaches used concurrent instruction(21.;
35634;yes;X rather than Y;dead;alive;alive - dead; So for people like me who have drunkard fathers who just wishes that we were ;dead rather than alive; cause it will be less expensive.;
24857;yes;from X to Y;easy;difficult;difficult - easy; It can be beneficial for organizing reading materials ;from easy to difficult; with a gradual increase of word and sentence length.;
22934;yes;X as well as Y;major;minor;major - minor; In 1971, the USDA issued a report** noting that ;major as well as minor; health problems are diet-related.;
41097;yes;whether X or Y;right;wrong;right - wrong; The opinions expressed are wholly my own, ;whether right or wrong;, and I accept the fullest responsibility for them.;
36138;yes;either X or Y;rich;poor;poor - rich; Somehow I do n't see this occasional price gouging as having much effect on ;either rich or poor;.;
10153;yes;whether X or Y;wet;dry;dry - wet;" Bell, formerly of Madras; but he did not say, in his printed account of that institution, ";whether wet or dry; sand was used.;
23834;yes;both X and Y;fast;slow;fast - slow; In some sense these two competitors are ;both fast and slow;, and they just happen to have the biggest performance advantage in the areas where the other is the weakest.;
22054;yes;more X than Y;good;bad;bad - good; I've long thought that there is ;more good than bad; in presidential libraries.;
27777;yes;whether X or Y;long;short;long - short; Its waves, ;whether long or short;, can shift to be longer or shorter.;
36438;yes;X, not Y;dead;alive;alive - dead; Stanley Paterson, who would have only the understanding that he was ;dead, not alive;, to keep him for all eternity.;
7285;yes;either X or Y;high;low;high - low; Although students seemed to perceive the domains similarly at the two universities -- domains were rated ;either high or low; by each of the two groups -- differences were noted between the two institutions.;
32984;yes;either too X or too Y;long;short;long - short; Photograph // If a shade you like seems ;either too long or too short;, a few tricks can change where it falls on the base.;
49696;yes;between X and Y;fast;slow;fast - slow; When you introduce this new movement, it helps him distinguish ;between fast and slow;.;
8994;yes;either X or Y;permanent;temporary;permanent - temporary; As an orthopedic surgeon, I see patients on a daily basis whose livelihood and quality of life depend upon receiving an implanted orthopedic device, ;either permanent or temporary;.;
3208;yes;X rather than Y;old;new;new - old;" "" The potentials met with are ";old rather than new; because they are the very same potentials that, at the pre-egoic level, constituted the original environment of the ego's existence.;
4819;yes;X, not Y;dry;wet;dry - wet; 2 To avoid compacting the soil, dig when the ground is ;dry, not wet;.;
48008;yes;between X and Y;heavy;light;heavy - light; Volume Accounting Volume accounting is a technique that is often used to discriminate ;between heavy and light; users.;
25372;yes;more X than Y;false;true;false - true; It is a myth, ;more false than true;.;
39142;yes;both X and Y;short;long;long - short; The company has been performing poorly ;both short and long;" term but year after year the CEO "" -- W.";
37326;yes;X rather than Y;bad;good;bad - good; That is true, but that only takes away from its perfection if its over-all state is ;bad rather than good;.;
49424;yes;more X than Y;high;low;high - low;" When asked whether "" conscientious objection to military @ @ @ @ @ @ @ @ @ @ citizenship, "" significantly ";more high than low; scorers on patriotism (66 percent vs.;
36917;yes;both X and Y;major;minor;major - minor; Symptom scores for ;both major and minor;" symptoms indicated that nine patients had improved following antileukotriene therapy; three other patients reported some overall benefit from therapy, despite no improvement in their symptom scores.";
11354;yes;both X and Y;good;bad;bad - good; But only time will tell the full effects -- ;both good and bad; -- that these tiny new inhabitants will have on our lives.;
16207;yes;more X than Y;passive;active;active - passive; Goodlad (1983) and Sizer (1984) reported that typical classes in all middle school subjects emphasized ;more passive than active; learning and more attention to teaching strategies than to learning strategies.;
47753;yes;between X and Y;temporary;permanent;permanent - temporary; Upcountry Tamil women are able to make clear choices ;between temporary and permanent; methods of birth control.;
18336;yes;both X and Y;alive;dead;alive - dead; Here's a list, including speakers ;both alive and dead;.;
40092;yes;X rather than Y;high;low;high - low; The heuristic-systematic model posits that message content will have a greater impact on persuasion when outcome-relevant involvement is ;high rather than low; because an individual will have the desire to carefully analyze a communication.;
29486;yes;either X or Y;dry;wet;dry - wet; Metal deposition uses ;either dry or wet; methods, and, as with the other processes, involves multiple layers of different metals.;
53645;yes;X and Y alike;new;old;new - old;0 software for use on all iPhones, an incredible amount of new functionality is introduced to the millions of users ;new and old alike;.;
19224;yes;both X and Y;low;high;high - low; However, H2BK123ub1 is present at long genes with ;both low and high; @ @ @ @ @ @ @ @ @ @ file 1, Table S2).;
2136;yes;both X and Y;hot;cold;cold - hot;" "" Indeed, @ @ @ @ @ @ @ @ @ @ his hotel in the finest European style, with imported walnut floors, porcelain lavatories, and ";both hot and cold; water in every room.;
48756;yes;X, not Y;happy;sad;happy - sad; We were some place doing something, nothing special, not ;happy, not sad;, just together like we used to be.;
52783;yes;X and Y;drunk;sober;drunk - sober; they had done things ;drunk and sober;.;
36331;yes;X or Y;high;low;high - low; Sounds can also be ;high or low;.;
53766;yes;either X or Y;masculine;feminine;feminine - masculine;29% of respondents could be correctly classified as ;either masculine or feminine; based on their scores on variables defining the discriminant function.;
28364;yes;not X, but Y;passive;active;active - passive; Learners and learning are ;not passive, but active;.;
5887;yes;either X or Y;optimistic;pessimistic;optimistic - pessimistic; A mean of zero would indicate no bias, ;either optimistic or pessimistic; on the group level.;
