sent_id,class,pattern,X_found,Y_found,pair,context_pre,costr,context_post,antonymous_value_GG,antonymous_value_LS,antonymous_value_LP,majority_vote
37896,no,X rather than Y,rich,stolid,poor - rich, The resulting textures are ,rich rather than stolid,", and though Boccherini's melodic invention is less than profound, the music is intricately crafted and rhythmically appealing.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
40922,no,neither X nor Y,instant,permanent,permanent - temporary, They want you to know that elk success is ,neither instant nor permanent,.,ANTONYM,ANTONYM,NOT_ANTONYM,ANTONYM
17574,no,X as well as Y,commercial,public,private - public," However, in television broadcasting, the viewing public has open access to ",commercial as well as public, channels.,ANTONYM,ANTONYM,NOT_ANTONYM,ANTONYM
33703,no,either too X or too Y,warm,cold,cold - hot," Temperatures fluctuate wildly, and you're often ",either too warm or too cold,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
377,no,both X and Y,sweet,high,high - low," "" "" Fifteen dollars, daddy, "" she said in a voice ",both sweet and high,.,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
19390,no,between X and Y,wealthy,poor,poor - rich, I think there will also have to be a dramatic shift in many of the communities where there is a separation ,between wealthy and poor,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
2870,no,more X than Y,feminine,ancient,feminine - masculine," "" They also like girls who wear something ",more feminine than ancient, riding skirts and jackets that look as if they were rejected by the local orphanage.,NOT_ANTONYM,NOT_ANTONYM,ERROR,NOT_ANTONYM
34041,no,between X and Y,polite,happy,happy - sad, That was where they'd taken their wrong turn: into a place where you could n't tell the difference ,between polite and happy,", to this point, this dry hillside, this separation.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
41004,no,X and Y,White,female,female - male, They were more likely to be ,White and female, and less likely to be Black.,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
23106,no,"X, not Y",delicate,hot,cold - hot, It is ,"delicate, not hot"," and spicy, and it is flavorful and sweet, just like the people.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
40932,no,both X and Y,old,round,new - old, They were ,both old and round,", and they lived in their flat with a number of ageing highland terriers who had names like Hamish and Andrew and Jock.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
27542,no,"not X, but Y",new,overdue,new - old," Nabokov at all, but just a salesman, in town for a convention and a little shopping and maybe some hanky-panky, and if the shoes were ","not new, but overdue", for a shining.,NOT_ANTONYM,NOT_ANTONYM,ERROR,NOT_ANTONYM
5482,no,X as well as Y,dry,warm,dry - wet, A warm climate period will produce warm &; ,dry as well as warm, &; wet years.,,NOT_ANTONYM,ERROR,DISAGREEMENT
4218,no,the very X and the very Y,old,young,new - old, 2) The ignorant and deceived (mostly ,the very old and the very young,) who watch too much liberal TV.,IDIOSYNCRATIC,ANTONYM,ANTONYM,ANTONYM
35556,no,more X than Y,soft,solid,hard - soft, The conclusion is ,more soft than solid,", more comfortable than convincing.",NOT_ANTONYM,ANTONYM,NOT_ANTONYM,NOT_ANTONYM
48181,no,X rather than Y,female,black,female - male,'in which the Sidney Poitier character was ,female rather than black,", but an *OK* woman because of her many achievements and general social acceptability.",NOT_ANTONYM,NOT_ANTONYM,ERROR,NOT_ANTONYM
421,no,X as well as Y,suburban,urban,rural - urban," "" "" The issue with most principals, and I think it cuts across ",suburban as well as urban," districts, is the spillover from the community.",NOT_ANTONYM,ANTONYM,ANTONYM,ANTONYM
13068,no,X and Y,clean,sober,drunk - sober, Even though I have been ,clean and sober, for over a decade now it still pays for me to remember exactly where I came from and thus what I am capable of returning to.,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
21365,no,more X than Y,likely,high,high - low," In contrast, middle school students were ",more likely than high," school students to agree that; @ @ @ @ @ @ @ @ @ @ group of students I participate with "" (middle school, 67.",ERROR,ERROR,ERROR,ERROR
7726,no,neither X nor Y,wrong,cowardly,right - wrong, Anonymity or the use of a pseudonym is ,neither wrong nor cowardly," but can be useful and is, regardless, any author's perogative.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
14690,no,between X and Y,transitional,permanent,permanent - temporary," Generally, variation along these dimensions exists ",between transitional and permanent," models, although it often exists within models as well.",ANTONYM,ANTONYM,NOT_ANTONYM,ANTONYM
32065,no,more X than Y,likely,poor,poor - rich," Similarly, good leamers appear to have more knowledge about their own memory and are ",more likely than poor," learners to use what they do know (Gamer, 1987; Schneider &; Pressley, 1989).",ERROR,ERROR,ERROR,ERROR
9760,no,the very X and the very Y,good,gentle,bad - good, But @ @ @ @ @ @ @ @ @ @ kills ,the very good and the very gentle, and the very brave impartially.,IDIOSYNCRATIC,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
17853,no,"X, not Y",low,fit,high - low, I am after all only an orc -- the lowliest of the ,"low, not fit", to lick your boots.,ERROR,NOT_ANTONYM,ERROR,ERROR
41903,no,X rather than Y,hot,spiced,cold - hot," This pepper-rich brew is thick, ultra-meaty and lip- searingly ",hot rather than spiced, with a complex mix.,NOT_ANTONYM,NOT_ANTONYM,ERROR,NOT_ANTONYM
