sent_id,class,pattern,X_found,Y_found,pair,context_pre,costr,context_post,antonymous_value_GG,antonymous_value_LS,antonymous_value_LP,majority_vote
4958795,no,tra X e Y,piccole,medie,grande - piccolo,Dai dati sull'andamento infortunistico riguardante le categorie artigiane e i dipendenti dell'industria si ricava la constatazione di come il divario,tra piccole e medie,imprese e aziende di maggiore dimensione vada progressivamente riducendosi.,NOT_ANTONYM,NOT_ANTONYM,IDIOSYNCRATIC,NOT_ANTONYM
6778628,no,tanto X quanto Y,assoluta,fredda,caldo - freddo,"La sua idea di Dio va in frantumi e si rende conto di come fosse tanto perfetta quanto distante,",tanto assoluta quanto fredda,": "" Nella sua mano c'è sempre una carta di cui non sapevamo nulla "".",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
4986458,no,"X , non Y",fiducioso,ottimista,ottimista - pessimista,""" Al contrario "", precisa, "" sono","fiducioso, non ottimista",", ma fiducioso sì, perché il peggio è passato, la fiducia sta tornando nelle famiglie "".",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
5684229,no,"X , non Y",maggiore,dura,maggiore - minore,""" Moby's "", a differenza del fratello","maggiore, non dura","neanche un'ora, quindi lo spettatore non si sente soffocato da quel senso di oppressione che può nascere da una trasmissione che di ore ne dura tre.",ERROR,NOT_ANTONYM,ERROR,ERROR
1377342,no,X ma Y,minore,interessante,maggiore - minore,"Domani sera, a Matrix, il faccia a faccia,",minore ma interessante,", tra il comunista italiano Oliviero Diliberto, che i moderati dell'Ulivo hanno cercato invano di far desistere, e lo stesso Silvio Berlusconi.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
4882472,no,a X e Y,pesanti,giustificate,leggero - pesante,"e polizia giudiziaria; indagini che, peraltro, non di rado hanno prestato il fianco",a pesanti e giustificate,critiche in relazione alle modalità (in alcuni casi assai disinvolte) con cui sono state condotte.,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
2349794,no,X e Y,temporanee,flessibili,permanente - temporaneo,"Secondo i dati Cgil, l'occupazione complessiva in provincia di Genova nel periodo 2008 si riduce di 3.568 unità (in Liguria di 5.859 unità) come effetto combinato di una forte caduta della occupazione maschile storicamente più strutturata (-5.117)e di un aumento della occupazione femminile (+1.549): crescono le forme di lavoro meno strutturate, quelle",temporanee e flessibili,.,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
6008662,no,X o Y,bagnata,gelata,asciutto - bagnato,"Il primo è il sovrapporsi di nuove nevicate che aumentano peso e pressione sugli strati di neve preesistente che può essere farinosa,",bagnata o gelata,.,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
1466404,no,"X , non Y",vivo,scrivo,morto - vivo,"C'è una poesia nella raccolta che in fondo sintetizza questa situazione: "" Per scrivere devo vivere P OTH e se","vivo, non scrivo",""".",ERROR,ERROR,ERROR,ERROR
4927590,no,o X o Y,falsa,inesatta,falso - vero,Dalle scritture contabili del contribuente non emerge alcuna omissione,o falsa o inesatta,"indicazione; i verificatori, pertanto, desumono l'omessa registrazione di corrispettivi in base a presunzioni che poggiano su calcoli che tendono a considerare il numero teorico di pasti serviti in relazione ai consumi globali e unitari di materie prime e prodotti e al numero di tovaglioli utilizzati, che possono portare a risultati molto diversi qualora si consideri, a titolo esemplificativo, le differenti percentuali di scarto delle carni utilizzate.",NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM,NOT_ANTONYM
