sent_id,class,pattern,X_found,Y_found,pair,context_pre,costr,context_post,antonymous_value_GG,antonymous_value_LS,antonymous_value_LP,majority_vote
14220,yes,X and Y alike,good,bad,bad - good," For teams, ",good and bad alike,", having players included on the ballot makes for good fodder for the in-game experience at arenas.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
21935,yes,X and Y,true,false,false - true," In the actual world, true paradoxes -- events requiring decidable propositions to be simultaneously ",true and false, -- do not occur.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
21840,yes,separating X and Y,male,female,female - male," In some respects the school will be no different from schools built here for decades, conforming to rigid Islamic precepts ",separating male and female, students.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
47477,yes,neither X nor Y,true,false,false - true, like what Aristotle says so profoundly of prayer: it is ,neither true nor false,.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
12296,yes,whether X or Y,permanent,temporary,permanent - temporary," Direct sterilization of either men or women, ",whether permanent or temporary,", is not permitted in a Catholic health care institution.",ANTONYM,ANTONYM,ANTONYM,ANTONYM
47070,yes,from X to Y,long,short,long - short," blockflte, trumpet, piccolo) -there was a separate row of pipes, arranged in a line ",from long to short,.,ANTONYM,ANTONYM,ERROR,ANTONYM
44901,yes,more X than Y,high,low,high - low," When asked whether "" conscientious objection to military @ @ @ @ @ @ @ @ @ @ citizenship, "" significantly ",more high than low, scorers on patriotism (66 percent vs.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
46040,yes,neither X nor Y,right,wrong,right - wrong," Without reference to a certain language and context any "" sentence "" is ",neither right nor wrong, but just meaningless.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
38258,yes,X and Y,masculine,feminine,feminine - masculine, The songs show both the ,masculine and feminine," points of view (although the woman's perspective is shown through the male imagination, since men comprise the absolute majority of the composers).",ANTONYM,ANTONYM,ANTONYM,ANTONYM
1748,yes,both X and Y,hot,cold,cold - hot," "" Indeed, @ @ @ @ @ @ @ @ @ @ his hotel in the finest European style, with imported walnut floors, porcelain lavatories, and ",both hot and cold, water in every room.,ANTONYM,ANTONYM,ANTONYM,ANTONYM
