sent_id;class;pattern;X_found;Y_found;pair;context_pre;costr;context_post;antonymous_value
28402;no;not X, but Y;sad;depressed;happy - sad; Leonard Linsky has a poignant, penetrating explanation when he says that Wittgenstein conceives the unhappy man as being ;not sad, but depressed;.;
28409;no;both X and Y;right;left;right - wrong; Less than 20% of men who had ;both right and left; nerves spared during surgery or who had radiation seed implants ended up with normal erections.;
25278;no;X rather than Y;realistic;pessimistic;optimistic - pessimistic; It is ;realistic rather than pessimistic; because pessimism is expecting things to be bad.;
34627;no;X rather than Y;elegant;large;large - small; She had seventy-four freckles on her face - she had counted - and a long, straight nose her father had assured her was ;elegant rather than large;.;
4953;no;neither X nor Y;new;remarkable;new - old;" 43 As Bell-Fialkoff points out in his study of the practice, it is "" historically speaking ";neither new nor remarkable;.;
19833;no;X and Y;male;younger;female - male;" I called you "" boy "" because I assume you are ";male and younger; than I am.;
29829;no;X as well as Y;great;small;large - small; Most google, regardless of whether ;great as well as small; to medium sized keep on records regarding search engine terms spent on those.;
30356;no;not X, but Y;new;overdue;new - old; Nabokov at all, but just a salesman, in town for a convention and a little shopping and maybe some hanky-panky, and if the shoes were ;not new, but overdue; for a shining.;
10702;no;the very X and the very Y;good;gentle;bad - good; But @ @ @ @ @ @ @ @ @ @ kills ;the very good and the very gentle; and the very brave impartially.;
2794;no;X, not Y;hot;sweaty;cold - hot;" "" She felt the hand holding hers, and it was smooth like a piece of marble, not cold, not ";hot, not sweaty;, but perfect.;
40085;no;both X and Y;short;tall;long - short; The height of components is easy to adjust, allowing employees ;both short and tall; to work safely and comfortably.;
30640;no;how X or Y;heavy;old;heavy - light; No matter ;how heavy or old; he got, she would never abandon him.;
20135;no;X or Y;depressed;sad;happy - sad; I even tried paying models and told them to look more ;depressed or sad;, but maybe I was n't a good director.;
15530;no;how X or Y;natural;urban;rural - urban; For the latter question, participants were asked to indicate, using a 5-point Likert scale (1 = nature setting, 5 = urban setting), ;how natural or urban; they thought each of the run settings were.;
30260;no;neither X nor Y;hopeful;pessimistic;optimistic - pessimistic; My one quibble about Tree of Life is that it's ;neither hopeful nor pessimistic;, but a carefully balanced tension of theses two states of being, much like life.;
10208;no;X as well as Y;rich;cut;poor - rich; Besides the ONLY economic plan Romney and the Republicans have is to permanently extend the Bush tax cuts for the ;rich as well as cut; other taxes for the rich.;
24410;no;X as well as Y;electrical;permanent;permanent - temporary; Inside Photons oscillating ;electrical as well as permanent; magnet areas are necessary to eliminate existential dilemma paused by Regulations of one's Movement (Generally known as Regulations associated with Thermodynamics).;
19333;no;more X than Y;motivated;minor;major - minor; However, our results suggest that collegiate fans are relatively ;more motivated than minor; league fans to attend a baseball game due to motivations central to the game itself.;
37249;no;more X than Y;effective;male;female - male; That female psychologists regard these bases as a group to be ;more effective than male; psychologists is consistent with modern perspectives on gender-based communication differences.;
21479;no;both X and Y;passive;quick;active - passive; I was alone and reckless and ;both passive and quick; to fury.;
7837;no;both X and Y;happy;rich;happy - sad;" And if there is one advice I have to give other aspirants, it is just this: Money is not worth your dreams; look elsewhere and you will be ";both happy and rich;.;
30623;no;either X or Y;asleep;high;high - low; No light was burning in Shelly's place, which meant she was ;either asleep or high;.;
21648;no;both X and Y;permanent;special;permanent - temporary; I wish every museum had audio tours for ;both permanent and special; exhibits (ideally for free with admission).;
664;no;X, not Y;difficult;impossible;difficult - easy;" "" "" I said it would be ";difficult, not impossible;.;
15822;no;between X and Y;passive;aggressive;active - passive; From there, vary your calling ;between passive and aggressive;, matching the grounded tom's response.;
44847;no;X and Y;youngish;drunk;drunk - sober; They looked ;youngish and drunk; and stupid.;
32931;no;more X than Y;optimistic;other;optimistic - pessimistic; Perhaps, he figured, they were expecting a mass conversion at some point in the future, which made him wonder if Catholics were just ;more optimistic than other; folks.;
46401;no;neither X nor Y;true;acceptable;false - true; This view--which amounts to triage by continent--is ;neither true nor acceptable; morally, politically, or strategically @ @ @ @ @ @ @ @ @ @ to redress the widespread skepticism toward U.;
