class	pattern	X_found	Y_found	pair	query	sent_id	context_pre	costr	context_post	text
no	X rather than Y	rich	stolid	poor - rich	(\brich) rather than (?!poor)(\b\w+)	37896	 The resulting textures are 	rich rather than stolid	, and though Boccherini's melodic invention is less than profound, the music is intricately crafted and rhythmically appealing.	 The resulting textures are  rich rather than stolid , and though Boccherini's melodic invention is less than profound, the music is intricately crafted and rhythmically appealing.
no	neither X nor Y	instant	permanent	permanent - temporary	neither (?!temporary)(\b\w+) nor (\bpermanent)	40922	 They want you to know that elk success is 	neither instant nor permanent	.	 They want you to know that elk success is  neither instant nor permanent .
no	X as well as Y	commercial	public	private - public	(?!private)(\b\w+) as well as (\bpublic)	17574	 However, in television broadcasting, the viewing public has open access to 	commercial as well as public	 channels.	 However, in television broadcasting, the viewing public has open access to  commercial as well as public  channels.
no	either too X or too Y	warm	cold	cold - hot	either too (?!hot)(\b\w+) or too (\bcold)	33703	 Temperatures fluctuate wildly, and you're often 	either too warm or too cold	.	 Temperatures fluctuate wildly, and you're often  either too warm or too cold .
no	both X and Y	sweet	high	high - low	both (?!low)(\b\w+) and (\bhigh)	377	" "" "" Fifteen dollars, daddy, "" she said in a voice "	both sweet and high	.	" "" "" Fifteen dollars, daddy, "" she said in a voice  both sweet and high ."
no	between X and Y	wealthy	poor	poor - rich	between (?!rich)(\b\w+) and (\bpoor)	19390	 I think there will also have to be a dramatic shift in many of the communities where there is a separation 	between wealthy and poor	.	 I think there will also have to be a dramatic shift in many of the communities where there is a separation  between wealthy and poor .
no	more X than Y	feminine	ancient	feminine - masculine	more (\bfeminine) than (?!masculine)(\b\w+)	2870	" "" They also like girls who wear something "	more feminine than ancient	 riding skirts and jackets that look as if they were rejected by the local orphanage.	" "" They also like girls who wear something  more feminine than ancient  riding skirts and jackets that look as if they were rejected by the local orphanage."
no	between X and Y	polite	happy	happy - sad	between (?!sad)(\b\w+) and (\bhappy)	34041	 That was where they'd taken their wrong turn: into a place where you could n't tell the difference 	between polite and happy	, to this point, this dry hillside, this separation.	 That was where they'd taken their wrong turn: into a place where you could n't tell the difference  between polite and happy , to this point, this dry hillside, this separation.
no	X and Y	White	female	female - male	(?!male)(\b\w+) and (\bfemale)	41004	 They were more likely to be 	White and female	 and less likely to be Black.	 They were more likely to be  White and female  and less likely to be Black.
no	X, not Y	delicate	hot	cold - hot	(?!cold)(\b\w+), not (\bhot)	23106	 It is 	delicate, not hot	 and spicy, and it is flavorful and sweet, just like the people.	 It is  delicate, not hot  and spicy, and it is flavorful and sweet, just like the people.
no	both X and Y	old	round	new - old	both (\bold) and (?!new)(\b\w+)	40932	 They were 	both old and round	, and they lived in their flat with a number of ageing highland terriers who had names like Hamish and Andrew and Jock.	 They were  both old and round , and they lived in their flat with a number of ageing highland terriers who had names like Hamish and Andrew and Jock.
no	not X, but Y	new	overdue	new - old	not (\bnew), but (?!old)(\b\w+)	27542	 Nabokov at all, but just a salesman, in town for a convention and a little shopping and maybe some hanky-panky, and if the shoes were 	not new, but overdue	 for a shining.	 Nabokov at all, but just a salesman, in town for a convention and a little shopping and maybe some hanky-panky, and if the shoes were  not new, but overdue  for a shining.
no	X as well as Y	dry	warm	dry - wet	(\bdry) as well as (?!wet)(\b\w+)	5482	 A warm climate period will produce warm &; 	dry as well as warm	 &; wet years.	 A warm climate period will produce warm &;  dry as well as warm  &; wet years.
no	the very X and the very Y	old	young	new - old	the very (\bold) and the very (?!new)(\b\w+)	4218	 2) The ignorant and deceived (mostly 	the very old and the very young	) who watch too much liberal TV.	 2) The ignorant and deceived (mostly  the very old and the very young ) who watch too much liberal TV.
no	more X than Y	soft	solid	hard - soft	more (\bsoft) than (?!hard)(\b\w+)	35556	 The conclusion is 	more soft than solid	, more comfortable than convincing.	 The conclusion is  more soft than solid , more comfortable than convincing.
no	X rather than Y	female	black	female - male	(\bfemale) rather than (?!male)(\b\w+)	48181	'in which the Sidney Poitier character was 	female rather than black	, but an *OK* woman because of her many achievements and general social acceptability.	'in which the Sidney Poitier character was  female rather than black , but an *OK* woman because of her many achievements and general social acceptability.
no	X as well as Y	suburban	urban	rural - urban	(?!rural)(\b\w+) as well as (\burban)	421	" "" "" The issue with most principals, and I think it cuts across "	suburban as well as urban	 districts, is the spillover from the community.	" "" "" The issue with most principals, and I think it cuts across  suburban as well as urban  districts, is the spillover from the community."
no	X and Y	clean	sober	drunk - sober	(?!drunk)(\b\w+) and (\bsober)	13068	 Even though I have been 	clean and sober	 for over a decade now it still pays for me to remember exactly where I came from and thus what I am capable of returning to.	 Even though I have been  clean and sober  for over a decade now it still pays for me to remember exactly where I came from and thus what I am capable of returning to.
no	more X than Y	likely	high	high - low	more (?!low)(\b\w+) than (\bhigh)	21365	 In contrast, middle school students were 	more likely than high	" school students to agree that; @ @ @ @ @ @ @ @ @ @ group of students I participate with "" (middle school, 67."	" In contrast, middle school students were  more likely than high  school students to agree that; @ @ @ @ @ @ @ @ @ @ group of students I participate with "" (middle school, 67."
no	neither X nor Y	wrong	cowardly	right - wrong	neither (\bwrong) nor (?!right)(\b\w+)	7726	 Anonymity or the use of a pseudonym is 	neither wrong nor cowardly	 but can be useful and is, regardless, any author's perogative.	 Anonymity or the use of a pseudonym is  neither wrong nor cowardly  but can be useful and is, regardless, any author's perogative.
no	between X and Y	transitional	permanent	permanent - temporary	between (?!temporary)(\b\w+) and (\bpermanent)	14690	 Generally, variation along these dimensions exists 	between transitional and permanent	 models, although it often exists within models as well.	 Generally, variation along these dimensions exists  between transitional and permanent  models, although it often exists within models as well.
no	more X than Y	likely	poor	poor - rich	more (?!rich)(\b\w+) than (\bpoor)	32065	 Similarly, good leamers appear to have more knowledge about their own memory and are 	more likely than poor	 learners to use what they do know (Gamer, 1987; Schneider &; Pressley, 1989).	 Similarly, good leamers appear to have more knowledge about their own memory and are  more likely than poor  learners to use what they do know (Gamer, 1987; Schneider &; Pressley, 1989).
no	the very X and the very Y	good	gentle	bad - good	the very (\bgood) and the very (?!bad)(\b\w+)	9760	 But @ @ @ @ @ @ @ @ @ @ kills 	the very good and the very gentle	 and the very brave impartially.	 But @ @ @ @ @ @ @ @ @ @ kills  the very good and the very gentle  and the very brave impartially.
no	X, not Y	low	fit	high - low	(\blow), not (?!high)(\b\w+)	17853	 I am after all only an orc -- the lowliest of the 	low, not fit	 to lick your boots.	 I am after all only an orc -- the lowliest of the  low, not fit  to lick your boots.
no	X rather than Y	hot	spiced	cold - hot	(\bhot) rather than (?!cold)(\b\w+)	41903	 This pepper-rich brew is thick, ultra-meaty and lip- searingly 	hot rather than spiced	 with a complex mix.	 This pepper-rich brew is thick, ultra-meaty and lip- searingly  hot rather than spiced  with a complex mix.
no	whether X or Y	governmental	private	private - public	whether (?!public)(\b\w+) or (\bprivate)	13365	 Existing funding sources, 	whether governmental or private	, are unlikely to expand, but the entry of Medicare as a funder of visual rehabilitation services represents a path around this barrier.	 Existing funding sources,  whether governmental or private , are unlikely to expand, but the entry of Medicare as a funder of visual rehabilitation services represents a path around this barrier.
no	not X, but Y	countable	short	long - short	not (?!long)(\b\w+), but (\bshort)	26615	 Maybe: Long term chronic diseases are 	not countable, but short	 term diseases are?	 Maybe: Long term chronic diseases are  not countable, but short  term diseases are?
no	X, not Y	ethnographic	urban	rural - urban	(?!rural)(\b\w+), not (\burban)	5805	 African culture is 	ethnographic, not urban	, and African art is sculpture, not two-dimensional representation -- at least these appear to, be the messages in many of our exhibitions, articles, and books.	 African culture is  ethnographic, not urban , and African art is sculpture, not two-dimensional representation -- at least these appear to, be the messages in many of our exhibitions, articles, and books.
no	X or Y	sharp	heavy	heavy - light	(?!light)(\b\w+) or (\bheavy)	39162	" Then he summarized: "" You should n't play rough games such as dunking others, running around a pool, or throwing "	sharp or heavy	 objects.	" Then he summarized: "" You should n't play rough games such as dunking others, running around a pool, or throwing  sharp or heavy  objects."
no	how X or Y	warm	cold	cold - hot	how (?!hot)(\b\w+) or (\bcold)	10418	 But scientists still do n't agree on exactly how dinosaurs exchanged heat with their surroundings and 	how warm or cold	 they might have been inside.	 But scientists still do n't agree on exactly how dinosaurs exchanged heat with their surroundings and  how warm or cold  they might have been inside.
no	X as well as Y	fresh	old	new - old	(?!new)(\b\w+) as well as (\bold)	45383	 Which I find immediately; 	fresh as well as old	 deer sign, and also the slightly aged scat of a bear.	 Which I find immediately;  fresh as well as old  deer sign, and also the slightly aged scat of a bear.
no	X or Y	gay	female	female - male	(?!male)(\b\w+) or (\bfemale)	44367	 We're starting to see that we're all subject to the same hostile indifference, whether we're 	gay or female	 or ethnic or some combination of the three.	 We're starting to see that we're all subject to the same hostile indifference, whether we're  gay or female  or ethnic or some combination of the three.
