class	pattern	X_found	Y_found	pair	query	sent_id	context_pre	costr	context_post	text
no	X and Y	active	athletic	active - passive	(\bactive) and (?!passive)(\b\w+)	43316	 Unlike Egyptian figures, which were meant to express an unchanging eternal, this @ @ @ @ @ @ @ @ @ @ harmonious of face and body, and above all 	active and athletic	.	 Unlike Egyptian figures, which were meant to express an unchanging eternal, this @ @ @ @ @ @ @ @ @ @ harmonious of face and body, and above all  active and athletic .
no	X and Y	silent	passive	active - passive	(?!active)(\b\w+) and (\bpassive)	21635	 In most cases women will not or can not avenge themselves upon their attacker, but they do not remain 	silent and passive	 forever.	 In most cases women will not or can not avenge themselves upon their attacker, but they do not remain  silent and passive  forever.
no	X and Y	active	intensive	active - passive	(\bactive) and (?!passive)(\b\w+)	41325	 This collaborative pedagogy simply underscored the oft-unnoticed resource, that students teach students, but here collaboration became 	active and intensive	, a great deal more than the passive perusing of other scholarship on the subject.	 This collaborative pedagogy simply underscored the oft-unnoticed resource, that students teach students, but here collaboration became  active and intensive , a great deal more than the passive perusing of other scholarship on the subject.
no	X and Y	active	busy	active - passive	(\bactive) and (?!passive)(\b\w+)	44537	 What a great idea to keep kids 	active and busy	) and watched Branden and Adam play basketball with students and staff.	 What a great idea to keep kids  active and busy ) and watched Branden and Adam play basketball with students and staff.
no	X and Y	squirmy	active	active - passive	(?!passive)(\b\w+) and (\bactive)	31327	 She also finds that it helps to teach @ @ @ @ @ @ @ @ @ @ once the baby becomes more 	squirmy and active	.	 She also finds that it helps to teach @ @ @ @ @ @ @ @ @ @ once the baby becomes more  squirmy and active .
no	X and Y	healthy	active	active - passive	(?!passive)(\b\w+) and (\bactive)	12850	 Enough food is available today to provide every human being on Earth with more than the 2,350 calories needed daily for a 	healthy and active	 life.	 Enough food is available today to provide every human being on Earth with more than the 2,350 calories needed daily for a  healthy and active  life.
no	X and Y	healthy	active	active - passive	(?!passive)(\b\w+) and (\bactive)	6473	 Although Yaguchi is 	healthy and active	 today, she ca n't help wondering what would happen if she could no longer take care of her mother or herself.	 Although Yaguchi is  healthy and active  today, she ca n't help wondering what would happen if she could no longer take care of her mother or herself.
no	X and Y	productive	active	active - passive	(?!passive)(\b\w+) and (\bactive)	22267	 In woman it implies seeing women as 	productive and active	.	 In woman it implies seeing women as  productive and active .
no	X and Y	active	useful	active - passive	(\bactive) and (?!passive)(\b\w+)	37301	" The opening address there advocated women's "" right of self-development "" and desire "" to play an "	active and useful	 role in the world.	" The opening address there advocated women's "" right of self-development "" and desire "" to play an  active and useful  role in the world."
no	X and Y	active	competing	active - passive	(\bactive) and (?!passive)(\b\w+)	9011	 Because both of a bilingual person's language systems are always 	active and competing	, that person uses these control mechanisms every time she or he speaks or listens.	 Because both of a bilingual person's language systems are always  active and competing , that person uses these control mechanisms every time she or he speaks or listens.
no	X and Y	supercilious	passive	active - passive	(?!active)(\b\w+) and (\bpassive)	43308	 Unless they are just being 	supercilious and passive	 aggressive concern trolls.	 Unless they are just being  supercilious and passive  aggressive concern trolls.
no	X and Y	active	straightforward	active - passive	(\bactive) and (?!passive)(\b\w+)	13455	 Faith in women's instinct, their natural instinct, something warm and 	active and straightforward	.	 Faith in women's instinct, their natural instinct, something warm and  active and straightforward .
no	X and Y	active	healthy	active - passive	(\bactive) and (?!passive)(\b\w+)	12509	 Drinking the lemon water is a great start to getting 	active and healthy	 again.	 Drinking the lemon water is a great start to getting  active and healthy  again.
no	X and Y	smart	active	active - passive	(?!passive)(\b\w+) and (\bactive)	16849	 His Atlanta operation boasts seventy employees, his chat boards are 	smart and active	, and his newsletters and books still sell well.	 His Atlanta operation boasts seventy employees, his chat boards are  smart and active , and his newsletters and books still sell well.
no	X and Y	active	reserve	active - passive	(\bactive) and (?!passive)(\b\w+)	48758	4 million 	active and reserve	 troops and cost $ 130 million, the Pentagon said.	4 million  active and reserve  troops and cost $ 130 million, the Pentagon said.
no	X and Y	active	fit	active - passive	(\bactive) and (?!passive)(\b\w+)	23661	 It may also be that more 	active and fit	 individuals are attracted to the exercise science major concentration.	 It may also be that more  active and fit  individuals are attracted to the exercise science major concentration.
no	X and Y	active	inactive	active - passive	(\bactive) and (?!passive)(\b\w+)	33102	 Start doing some reading on biological clocks--our organs have inner clocks (they are 	active and inactive	 too.	 Start doing some reading on biological clocks--our organs have inner clocks (they are  active and inactive  too.
no	X and Y	vital	passive	active - passive	(?!active)(\b\w+) and (\bpassive)	30607	 Reduction in the time from debut of symptoms to initiation of therapy is 	vital and passive	 immunotherapy with HSV-specific antibodies could posses a potential as adjuvant to the antiviral treatment 123, 125, 126.	 Reduction in the time from debut of symptoms to initiation of therapy is  vital and passive  immunotherapy with HSV-specific antibodies could posses a potential as adjuvant to the antiviral treatment 123, 125, 126.
