class	pattern	X_found	Y_found	pair	query	sent_id	context_pre	costr	context_post	text
yes	X and Y	active	passive	active - passive	(active) and (passive)	44507	 What I have witnessed in law enforcement over the course of the last two decades serves to remind me how 	active and passive	 prejudice can undermine public trust in important institutions, like police agencies.	 What I have witnessed in law enforcement over the course of the last two decades serves to remind me how  active and passive  prejudice can undermine public trust in important institutions, like police agencies.
yes	X and Y	active	passive	active - passive	(active) and (passive)	32334	 So are the relative merits of the first, second, third persons, 	active and passive	 voice.	 So are the relative merits of the first, second, third persons,  active and passive  voice.
yes	X and Y	active	passive	active - passive	(active) and (passive)	32946	 Sometimes, participants exchange 	active and passive	 roles during a single greeting.	 Sometimes, participants exchange  active and passive  roles during a single greeting.
yes	X and Y	active	passive	active - passive	(active) and (passive)	47952	 two separate businesses I intend to blend together in this beautiful mixture of 	active and passive	 income streams.	 two separate businesses I intend to blend together in this beautiful mixture of  active and passive  income streams.
yes	X and Y	active	passive	active - passive	(active) and (passive)	40906	 They used three 	active and passive	 observation conditions (stand, walk, ride).	 They used three  active and passive  observation conditions (stand, walk, ride).
yes	X and Y	active	passive	active - passive	(active) and (passive)	45285	 Whether every car gets checked, or every tenth car, police must demonstrate that they have attempted to eliminate the effects of 	active and passive	" discrimination when using "" random "" strategies."	" Whether every car gets checked, or every tenth car, police must demonstrate that they have attempted to eliminate the effects of  active and passive  discrimination when using "" random "" strategies."
yes	X and Y	active	passive	active - passive	(active) and (passive)	6488	 Although experience is sometimes used in a narrower sense, it can be a relational term, an 	active and passive	 term, a term that connotes knowing and other than knowing.	 Although experience is sometimes used in a narrower sense, it can be a relational term, an  active and passive  term, a term that connotes knowing and other than knowing.
yes	X and Y	passive	active	active - passive	(passive) and (active)	13780	 Five participants each were recruited through 	passive and active	 recruitment strategies, and six were recruited through snowball sampling.	 Five participants each were recruited through  passive and active  recruitment strategies, and six were recruited through snowball sampling.
yes	X and Y	passive	active	active - passive	(passive) and (active)	9007	 Because action potential conduction requires 	passive and active	 flow of current (see Figure 3.	 Because action potential conduction requires  passive and active  flow of current (see Figure 3.
yes	X and Y	passive	active	active - passive	(passive) and (active)	4726	 @ @ @ @ @ @ @ @ @ @ is space enough to blend the 	passive and active	; to create spaces where people can walk, run, congregate, play, catch and think.	 @ @ @ @ @ @ @ @ @ @ is space enough to blend the  passive and active ; to create spaces where people can walk, run, congregate, play, catch and think.
yes	X and Y	active	passive	active - passive	(active) and (passive)	8674	 At the same time, 	active and passive	 quieting systems are being developed to reduce noise from aircraft and other sources.	 At the same time,  active and passive  quieting systems are being developed to reduce noise from aircraft and other sources.
yes	X and Y	active	passive	active - passive	(active) and (passive)	31607	 She maintains that Champourcn combines the ascetic and the mystical, an 	active and passive	 posture, a sense of surrender and one of aspiration.	 She maintains that Champourcn combines the ascetic and the mystical, an  active and passive  posture, a sense of surrender and one of aspiration.
yes	X and Y	passive	active	active - passive	(passive) and (active)	39715	 There were also increasing incidents of 	passive and active	 resistance in the missions, large-scale flight, and armed conflict.	 There were also increasing incidents of  passive and active  resistance in the missions, large-scale flight, and armed conflict.
yes	X and Y	active	passive	active - passive	(active) and (passive)	23715	 It must be remembered that 	active and passive	 access components serve very different target populations.	 It must be remembered that  active and passive  access components serve very different target populations.
yes	X and Y	active	passive	active - passive	(active) and (passive)	22544	 Intense 	active and passive	 case detection continued over 15 months of follow-up.	 Intense  active and passive  case detection continued over 15 months of follow-up.
yes	X and Y	active	passive	active - passive	(active) and (passive)	14147	 For more information about active and passive mode connections, see the 	active and passive	 FTP help topic.	 For more information about active and passive mode connections, see the  active and passive  FTP help topic.
yes	X and Y	passive	active	active - passive	(passive) and (active)	47101	 c) How do our thinking, feeling and behaving interact in both a 	passive and active	 manner?	 c) How do our thinking, feeling and behaving interact in both a  passive and active  manner?
yes	X and Y	active	passive	active - passive	(active) and (passive)	19789	 I would have students juggling 	active and passive	 voice with every new verb they learn instead of saving passive voice for some future date.	 I would have students juggling  active and passive  voice with every new verb they learn instead of saving passive voice for some future date.
yes	X and Y	active	passive	active - passive	(active) and (passive)	10792	 But we know that ten craft were there; the craft are loaded with equipment; even their most minimal state of attention is likely to entail complicated 	active and passive	 sensing equipment.	 But we know that ten craft were there; the craft are loaded with equipment; even their most minimal state of attention is likely to entail complicated  active and passive  sensing equipment.
yes	X and Y	passive	active	active - passive	(passive) and (active)	21199	 In addition, 	passive and active	 solar systems have been incorporated into over 2,000,000 residential and commercial buildings, and photovoltaic systems are providing electric power for thousands of remote installations.	 In addition,  passive and active  solar systems have been incorporated into over 2,000,000 residential and commercial buildings, and photovoltaic systems are providing electric power for thousands of remote installations.
yes	X and Y	passive	active	active - passive	(passive) and (active)	42931	 Todays TERRA is semiclear so you can compare the look with 	passive and active	 microwave.	 Todays TERRA is semiclear so you can compare the look with  passive and active  microwave.
yes	X and Y	active	passive	active - passive	(active) and (passive)	38741	 The verb has 4 tenses, 3 conjugations, 3 moods, 	active and passive	 voice and the gerund.	 The verb has 4 tenses, 3 conjugations, 3 moods,  active and passive  voice and the gerund.
