sent_id;class;pattern;X_found;Y_found;pair;context_pre;costr;context_post;antonymous_value
48449;yes;X and Y;active;passive;active - passive; We have investigated a number of ;active and passive; @ @ @ @ @ @ @ @ @ @ paper.;
35598;yes;X and Y;active;passive;active - passive; So are the relative merits of the first, second, third persons, ;active and passive; voice.;
36279;yes;X and Y;active;passive;active - passive; Sometimes, participants exchange ;active and passive; roles during a single greeting.;
52855;yes;X and Y;active;passive;active - passive; two separate businesses I intend to blend together in this beautiful mixture of ;active and passive; income streams.;
43952;yes;X and Y;active;passive;active - passive; These apparatus include ;active and passive; solar energies, photovoltaics, wind turbine, and alternative fuels.;
49617;yes;X and Y;active;passive;active - passive; When the two triangles are interlaced, it represents the union of the ;active and passive;" forces in nature; it represents the male and female elements.";
7224;yes;X and Y;active;passive;active - passive; Although experience is sometimes used in a narrower sense, it can be a relational term, an ;active and passive; term, a term that connotes knowing and other than knowing.;
15046;yes;X and Y;passive;active;active - passive; Five participants each were recruited through ;passive and active; recruitment strategies, and six were recruited through snowball sampling.;
9883;yes;X and Y;passive;active;active - passive; Because action potential conduction requires ;passive and active; flow of current (see Figure 3.;
5365;yes;X and Y;passive;active;active - passive; @ @ @ @ @ @ @ @ @ @ is space enough to blend the ;passive and active;"; to create spaces where people can walk, run, congregate, play, catch and think.";
9516;yes;X and Y;active;passive;active - passive; At the same time, ;active and passive; quieting systems are being developed to reduce noise from aircraft and other sources.;
34790;yes;X and Y;active;passive;active - passive; She maintains that Champourcn combines the ascetic and the mystical, an ;active and passive; posture, a sense of surrender and one of aspiration.;
43524;yes;X and Y;active;passive;active - passive; There is an ;active and passive; concurrence.;
25928;yes;X and Y;active;passive;active - passive; It must be remembered that ;active and passive; access components serve very different target populations.;
24550;yes;X and Y;active;passive;active - passive; Intense ;active and passive; case detection continued over 15 months of follow-up.;
15423;yes;X and Y;active;passive;active - passive; For more information about active and passive mode connections, see the ;active and passive; FTP help topic.;
51804;yes;X and Y;passive;active;active - passive; c) How do our thinking, feeling and behaving interact in both a ;passive and active; manner?;
